Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2003,752783,751350,754407,758546,766357,772120,767127,767156,765181,763499,764939,767335,762567
2004,739591,739117,744990,750370,756544,764165,761760,762492,759913,761433,764433,765449,755855
2005,734965,736217,740170,747479,751801,758455,756687,758713,756153,754645,756709,757390,750782
2006,738812,739794,743612,749890,754803,760671,755393,757181,754551,754844,755682,755824,751755
2007,737453,736129,740378,744933,751539,758513,750824,751170,747243,748177,750523,749794,747223
2008,728046,728017,725593,732354,739799,743261,736255,735690,732224,729928,727105,724212,731874
2009,701810,696748,694180,694567,696747,697017,690222,688449,687983,689765,689950,689711,693096
2010,673677,672037,673284,682224,689687,692091,691719,689888,686886,690560,691779,690594,685369
2011,673227,673668,675537,684819,688951,692015,693439,695491,692172,693756,696949,695849,687989
2012,683616,685163,690002,696366,702265,706704,705279,704765,703110,709809,712140,711753,700914
2013,692163,693257,696704,704136,710859,715785,711048,714433,708198,713905,715895,716386,707731
2014,694500,693531,697128,705612,712692,716499,710801,714370,708359,713696,716667,718301,708513
2015,698046,699252,700618,710725,719614,722404,719824,720932,713967,720855,721525,721634,714116
2016,706727,706578,709162,716752,722919,724530,726520,726389,720290,723993,725518,724382,719480
2017,705790,707322,708837,717114,723652,729138,725919,726072,721312,725379,725389,725088,720084
2018,711560,713712,716146,722563,729092,734559,732056,733388,727963,733647,735057,733255,726917
